Objectid,Year,County,City,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
0,1990,Alameda,Alameda,36308,37391,1091,0.0291,CA EDD Local Area Unemployment Statistics (LAUS)
1,1990,Alameda,Albany,8766,8950,200,0.0196,CA EDD Local Area Unemployment Statistics (LAUS)
2,1990,Alameda,Berkeley,57233,59458,2233,0.0375,CA EDD Local Area Unemployment Statistics (LAUS)
3,1990,Alameda,Dublin,11175,11450,275,0.0234,CA EDD Local Area Unemployment Statistics (LAUS)
4,1990,Alameda,Emeryville,3550,3700,141,0.0395,CA EDD Local Area Unemployment Statistics (LAUS)
5,1990,Alameda,Fremont,98383,101225,2833,0.0279,CA EDD Local Area Unemployment Statistics (LAUS)
6,1990,Alameda,Hayward,56708,59141,2433,0.0411,CA EDD Local Area Unemployment Statistics (LAUS)
7,1990,Alameda,Livermore,31950,32858,925,0.0279,CA EDD Local Area Unemployment Statistics (LAUS)
8,1990,Alameda,Newark,21008,21791,766,0.0354,CA EDD Local Area Unemployment Statistics (LAUS)
9,1990,Alameda,Oakland,166083,177466,11375,0.0641,CA EDD Local Area Unemployment Statistics (LAUS)
10,1990,Alameda,Piedmont,5366,5400,100,0.0106,CA EDD Local Area Unemployment Statistics (LAUS)
11,1990,Alameda,Pleasanton,30625,31266,650,0.0203,CA EDD Local Area Unemployment Statistics (LAUS)
12,1990,Alameda,San Leandro,34650,35916,1283,0.0355,CA EDD Local Area Unemployment Statistics (LAUS)
13,1990,Alameda,Unincorporated Alameda,10610,11020,423,0.0414,CA EDD Local Area Unemployment Statistics (LAUS)
14,1990,Alameda,Union City,28366,29241,866,0.0299,CA EDD Local Area Unemployment Statistics (LAUS)
15,1990,Contra Costa,Antioch,30458,32175,1716,0.0536,CA EDD Local Area Unemployment Statistics (LAUS)
16,1990,Contra Costa,Brentwood,3500,3708,208,0.0611,CA EDD Local Area Unemployment Statistics (LAUS)
17,1990,Contra Costa,Clayton,4200,4258,100,0.0142,CA EDD Local Area Unemployment Statistics (LAUS)
18,1990,Contra Costa,Concord,62008,64408,2400,0.0372,CA EDD Local Area Unemployment Statistics (LAUS)
19,1990,Contra Costa,Danville,17733,18058,350,0.0193,CA EDD Local Area Unemployment Statistics (LAUS)
20,1990,Contra Costa,El Cerrito,11983,12341,350,0.0292,CA EDD Local Area Unemployment Statistics (LAUS)
21,1990,Contra Costa,Hercules,9600,9966,350,0.0352,CA EDD Local Area Unemployment Statistics (LAUS)
22,1990,Contra Costa,Lafayette,12858,13108,250,0.0179,CA EDD Local Area Unemployment Statistics (LAUS)
23,1990,Contra Costa,Martinez,17933,18508,608,0.0326,CA EDD Local Area Unemployment Statistics (LAUS)
24,1990,Contra Costa,Moraga,8358,8458,100,0.0138,CA EDD Local Area Unemployment Statistics (LAUS)
25,1990,Contra Costa,Orinda,8408,8633,200,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
26,1990,Contra Costa,Pinole,9458,9825,350,0.036,CA EDD Local Area Unemployment Statistics (LAUS)
27,1990,Contra Costa,Pittsburg,22450,23825,1358,0.0569,CA EDD Local Area Unemployment Statistics (LAUS)
28,1990,Contra Costa,Pleasant Hill,18633,19100,483,0.0257,CA EDD Local Area Unemployment Statistics (LAUS)
29,1990,Contra Costa,Richmond,39891,43216,3308,0.0767,CA EDD Local Area Unemployment Statistics (LAUS)
30,1990,Contra Costa,San Pablo,10383,11308,933,0.0825,CA EDD Local Area Unemployment Statistics (LAUS)
31,1990,Contra Costa,San Ramon,21641,22125,483,0.0222,CA EDD Local Area Unemployment Statistics (LAUS)
32,1990,Contra Costa,Unincorporated Contra Costa,2871,2968,106,0.0349,CA EDD Local Area Unemployment Statistics (LAUS)
33,1990,Contra Costa,Walnut Creek,31925,32783,858,0.0262,CA EDD Local Area Unemployment Statistics (LAUS)
34,1990,Marin,Corte Madera,4775,4941,200,0.0366,CA EDD Local Area Unemployment Statistics (LAUS)
35,1990,Marin,Fairfax,4391,4508,116,0.0307,CA EDD Local Area Unemployment Statistics (LAUS)
36,1990,Marin,Larkspur,6566,6700,100,0.0185,CA EDD Local Area Unemployment Statistics (LAUS)
37,1990,Marin,Mill Valley,7683,7858,175,0.0204,CA EDD Local Area Unemployment Statistics (LAUS)
38,1990,Marin,Novato,25708,26308,583,0.0227,CA EDD Local Area Unemployment Statistics (LAUS)
39,1990,Marin,San Anselmo,7000,7141,158,0.0213,CA EDD Local Area Unemployment Statistics (LAUS)
40,1990,Marin,San Rafael,27150,28141,1008,0.0355,CA EDD Local Area Unemployment Statistics (LAUS)
41,1990,Marin,Sausalito,5200,5333,158,0.0284,CA EDD Local Area Unemployment Statistics (LAUS)
42,1990,Marin,Unincorporated Marin,3558,3650,83,0.0232,CA EDD Local Area Unemployment Statistics (LAUS)
43,1990,Napa,Calistoga,2041,2150,108,0.0504,CA EDD Local Area Unemployment Statistics (LAUS)
44,1990,Napa,Napa,30483,32016,1533,0.0479,CA EDD Local Area Unemployment Statistics (LAUS)
45,1990,Napa,St. Helena,2450,2491,33,0.0186,CA EDD Local Area Unemployment Statistics (LAUS)
46,1990,Napa,Unincorporated Napa,1554,1625,62,0.0432,CA EDD Local Area Unemployment Statistics (LAUS)
47,1990,Napa,Yountville,883,900,0,0.0266,CA EDD Local Area Unemployment Statistics (LAUS)
48,1990,San Francisco,San Francisco,393941,409366,15416,0.0377,CA EDD Local Area Unemployment Statistics (LAUS)
49,1990,San Mateo,Atherton,3600,3625,0,0.011,CA EDD Local Area Unemployment Statistics (LAUS)
50,1990,San Mateo,Belmont,15183,15533,333,0.0212,CA EDD Local Area Unemployment Statistics (LAUS)
51,1990,San Mateo,Brisbane,1708,1800,91,0.0315,CA EDD Local Area Unemployment Statistics (LAUS)
52,1990,San Mateo,Burlingame,15383,15658,275,0.0174,CA EDD Local Area Unemployment Statistics (LAUS)
53,1990,San Mateo,Daly City,49741,51483,1758,0.0342,CA EDD Local Area Unemployment Statistics (LAUS)
54,1990,San Mateo,East Palo Alto,10275,11000,750,0.0681,CA EDD Local Area Unemployment Statistics (LAUS)
55,1990,San Mateo,Foster City,17983,18366,383,0.0212,CA EDD Local Area Unemployment Statistics (LAUS)
56,1990,San Mateo,Half Moon Bay,5258,5316,100,0.0152,CA EDD Local Area Unemployment Statistics (LAUS)
57,1990,San Mateo,Hillsborough,5008,5100,100,0.0157,CA EDD Local Area Unemployment Statistics (LAUS)
58,1990,San Mateo,Menlo Park,14766,15083,308,0.0201,CA EDD Local Area Unemployment Statistics (LAUS)
59,1990,San Mateo,Millbrae,10308,10533,200,0.0199,CA EDD Local Area Unemployment Statistics (LAUS)
60,1990,San Mateo,Pacifica,21883,22350,458,0.0209,CA EDD Local Area Unemployment Statistics (LAUS)
61,1990,San Mateo,Redwood City,37291,38183,933,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
62,1990,San Mateo,San Bruno,21641,22225,566,0.0258,CA EDD Local Area Unemployment Statistics (LAUS)
63,1990,San Mateo,San Carlos,15391,15633,233,0.0151,CA EDD Local Area Unemployment Statistics (LAUS)
64,1990,San Mateo,San Mateo,49108,50458,1341,0.0266,CA EDD Local Area Unemployment Statistics (LAUS)
65,1990,San Mateo,South San Francisco,28683,29666,975,0.0331,CA EDD Local Area Unemployment Statistics (LAUS)
66,1990,San Mateo,Unincorporated San Mateo,3395,3554,137,0.0299,CA EDD Local Area Unemployment Statistics (LAUS)
67,1990,Santa Clara,Campbell,22125,22783,658,0.0287,CA EDD Local Area Unemployment Statistics (LAUS)
68,1990,Santa Clara,Cupertino,23800,24383,558,0.0231,CA EDD Local Area Unemployment Statistics (LAUS)
69,1990,Santa Clara,Gilroy,14916,15975,1050,0.0662,CA EDD Local Area Unemployment Statistics (LAUS)
70,1990,Santa Clara,Los Altos,13900,14233,341,0.0241,CA EDD Local Area Unemployment Statistics (LAUS)
71,1990,Santa Clara,Los Gatos,16241,16675,416,0.0245,CA EDD Local Area Unemployment Statistics (LAUS)
72,1990,Santa Clara,Milpitas,26450,27591,1133,0.041,CA EDD Local Area Unemployment Statistics (LAUS)
73,1990,Santa Clara,Morgan Hill,12491,12891,408,0.0311,CA EDD Local Area Unemployment Statistics (LAUS)
74,1990,Santa Clara,Mountain View,42366,43550,1175,0.0273,CA EDD Local Area Unemployment Statistics (LAUS)
75,1990,Santa Clara,Palo Alto,32716,33391,675,0.0201,CA EDD Local Area Unemployment Statistics (LAUS)
76,1990,Santa Clara,San Jose,413733,433983,20250,0.0467,CA EDD Local Area Unemployment Statistics (LAUS)
77,1990,Santa Clara,Santa Clara,55358,57500,2150,0.0373,CA EDD Local Area Unemployment Statistics (LAUS)
78,1990,Santa Clara,Saratoga,14633,14991,358,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
79,1990,Santa Clara,Sunnyvale,70341,72791,2466,0.0337,CA EDD Local Area Unemployment Statistics (LAUS)
80,1990,Santa Clara,Unincorporated Santa Clara,3937,4112,154,0.0391,CA EDD Local Area Unemployment Statistics (LAUS)
81,1990,Solano,Benicia,13466,13900,433,0.0318,CA EDD Local Area Unemployment Statistics (LAUS)
82,1990,Solano,Dixon,4983,5325,333,0.0635,CA EDD Local Area Unemployment Statistics (LAUS)
83,1990,Solano,Fairfield,34250,36141,1900,0.0526,CA EDD Local Area Unemployment Statistics (LAUS)
84,1990,Solano,Rio Vista,1550,1608,25,0.0298,CA EDD Local Area Unemployment Statistics (LAUS)
85,1990,Solano,Suisun City,10100,10725,616,0.0577,CA EDD Local Area Unemployment Statistics (LAUS)
86,1990,Solano,Vacaville,32150,33441,1275,0.0388,CA EDD Local Area Unemployment Statistics (LAUS)
87,1990,Solano,Vallejo,49191,51975,2750,0.0532,CA EDD Local Area Unemployment Statistics (LAUS)
88,1990,Sonoma,Cloverdale,2225,2408,200,0.0687,CA EDD Local Area Unemployment Statistics (LAUS)
89,1990,Sonoma,Cotati,3225,3400,200,0.0518,CA EDD Local Area Unemployment Statistics (LAUS)
90,1990,Sonoma,Healdsburg,4791,4983,200,0.0354,CA EDD Local Area Unemployment Statistics (LAUS)
91,1990,Sonoma,Petaluma,23266,24025,750,0.0315,CA EDD Local Area Unemployment Statistics (LAUS)
92,1990,Sonoma,Rohnert Park,19741,20633,916,0.0435,CA EDD Local Area Unemployment Statistics (LAUS)
93,1990,Sonoma,Santa Rosa,56800,59016,2225,0.0377,CA EDD Local Area Unemployment Statistics (LAUS)
94,1990,Sonoma,Sebastopol,3425,3583,200,0.0459,CA EDD Local Area Unemployment Statistics (LAUS)
95,1990,Sonoma,Sonoma,3525,3641,100,0.0253,CA EDD Local Area Unemployment Statistics (LAUS)
96,1990,Sonoma,Unincorporated Sonoma,1086,1121,37,0.0365,CA EDD Local Area Unemployment Statistics (LAUS)
97,1991,Alameda,Alameda,35491,36941,1450,0.039,CA EDD Local Area Unemployment Statistics (LAUS)
98,1991,Alameda,Albany,8575,8791,208,0.0263,CA EDD Local Area Unemployment Statistics (LAUS)
99,1991,Alameda,Berkeley,55975,58916,2958,0.05,CA EDD Local Area Unemployment Statistics (LAUS)
100,1991,Alameda,Dublin,10933,11283,341,0.0314,CA EDD Local Area Unemployment Statistics (LAUS)
101,1991,Alameda,Emeryville,3483,3675,200,0.0527,CA EDD Local Area Unemployment Statistics (LAUS)
102,1991,Alameda,Fremont,96225,99966,3725,0.0374,CA EDD Local Area Unemployment Statistics (LAUS)
103,1991,Alameda,Hayward,55450,58658,3200,0.0547,CA EDD Local Area Unemployment Statistics (LAUS)
104,1991,Alameda,Livermore,31250,32475,1225,0.0373,CA EDD Local Area Unemployment Statistics (LAUS)
105,1991,Alameda,Newark,20525,21550,1033,0.0473,CA EDD Local Area Unemployment Statistics (LAUS)
106,1991,Alameda,Oakland,162408,177466,15066,0.0848,CA EDD Local Area Unemployment Statistics (LAUS)
107,1991,Alameda,Piedmont,5241,5300,100,0.0143,CA EDD Local Area Unemployment Statistics (LAUS)
108,1991,Alameda,Pleasanton,29958,30775,833,0.0273,CA EDD Local Area Unemployment Statistics (LAUS)
109,1991,Alameda,San Leandro,33883,35558,1683,0.0474,CA EDD Local Area Unemployment Statistics (LAUS)
110,1991,Alameda,Unincorporated Alameda,10370,10911,560,0.0551,CA EDD Local Area Unemployment Statistics (LAUS)
111,1991,Alameda,Union City,27750,28900,1150,0.0401,CA EDD Local Area Unemployment Statistics (LAUS)
112,1991,Contra Costa,Antioch,29958,32275,2316,0.0721,CA EDD Local Area Unemployment Statistics (LAUS)
113,1991,Contra Costa,Brentwood,3425,3725,300,0.0821,CA EDD Local Area Unemployment Statistics (LAUS)
114,1991,Contra Costa,Clayton,4108,4191,100,0.0194,CA EDD Local Area Unemployment Statistics (LAUS)
115,1991,Contra Costa,Concord,60975,64208,3233,0.0503,CA EDD Local Area Unemployment Statistics (LAUS)
116,1991,Contra Costa,Danville,17416,17891,491,0.0263,CA EDD Local Area Unemployment Statistics (LAUS)
117,1991,Contra Costa,El Cerrito,11791,12266,500,0.0397,CA EDD Local Area Unemployment Statistics (LAUS)
118,1991,Contra Costa,Hercules,9450,9950,500,0.0478,CA EDD Local Area Unemployment Statistics (LAUS)
119,1991,Contra Costa,Lafayette,12650,12958,300,0.0244,CA EDD Local Area Unemployment Statistics (LAUS)
120,1991,Contra Costa,Martinez,17616,18450,816,0.0443,CA EDD Local Area Unemployment Statistics (LAUS)
121,1991,Contra Costa,Moraga,8208,8358,200,0.0189,CA EDD Local Area Unemployment Statistics (LAUS)
122,1991,Contra Costa,Orinda,8275,8558,300,0.0325,CA EDD Local Area Unemployment Statistics (LAUS)
123,1991,Contra Costa,Pinole,9291,9766,500,0.0488,CA EDD Local Area Unemployment Statistics (LAUS)
124,1991,Contra Costa,Pittsburg,22083,23933,1825,0.0765,CA EDD Local Area Unemployment Statistics (LAUS)
125,1991,Contra Costa,Pleasant Hill,18316,18975,666,0.035,CA EDD Local Area Unemployment Statistics (LAUS)
126,1991,Contra Costa,Richmond,39250,43741,4475,0.1025,CA EDD Local Area Unemployment Statistics (LAUS)
127,1991,Contra Costa,San Pablo,10200,11475,1266,0.11,CA EDD Local Area Unemployment Statistics (LAUS)
128,1991,Contra Costa,San Ramon,21283,21958,666,0.0302,CA EDD Local Area Unemployment Statistics (LAUS)
129,1991,Contra Costa,Unincorporated Contra Costa,2816,2953,154,0.0472,CA EDD Local Area Unemployment Statistics (LAUS)
130,1991,Contra Costa,Walnut Creek,31400,32550,1166,0.0357,CA EDD Local Area Unemployment Statistics (LAUS)
131,1991,Marin,Corte Madera,4658,4941,291,0.0548,CA EDD Local Area Unemployment Statistics (LAUS)
132,1991,Marin,Fairfax,4283,4491,200,0.046,CA EDD Local Area Unemployment Statistics (LAUS)
133,1991,Marin,Larkspur,6433,6633,200,0.0279,CA EDD Local Area Unemployment Statistics (LAUS)
134,1991,Marin,Mill Valley,7533,7741,216,0.0308,CA EDD Local Area Unemployment Statistics (LAUS)
135,1991,Marin,Novato,25125,26016,883,0.0343,CA EDD Local Area Unemployment Statistics (LAUS)
136,1991,Marin,San Anselmo,6841,7041,208,0.0321,CA EDD Local Area Unemployment Statistics (LAUS)
137,1991,Marin,San Rafael,26533,28008,1483,0.0532,CA EDD Local Area Unemployment Statistics (LAUS)
138,1991,Marin,Sausalito,5066,5325,208,0.0428,CA EDD Local Area Unemployment Statistics (LAUS)
139,1991,Marin,Unincorporated Marin,3483,3616,104,0.0349,CA EDD Local Area Unemployment Statistics (LAUS)
140,1991,Napa,Calistoga,1966,2108,150,0.0701,CA EDD Local Area Unemployment Statistics (LAUS)
141,1991,Napa,Napa,29325,31425,2100,0.0667,CA EDD Local Area Unemployment Statistics (LAUS)
142,1991,Napa,St. Helena,2350,2416,91,0.0262,CA EDD Local Area Unemployment Statistics (LAUS)
143,1991,Napa,Unincorporated Napa,1487,1600,91,0.0602,CA EDD Local Area Unemployment Statistics (LAUS)
144,1991,Napa,Yountville,816,900,0,0.0373,CA EDD Local Area Unemployment Statistics (LAUS)
145,1991,San Francisco,San Francisco,383508,405050,21541,0.0532,CA EDD Local Area Unemployment Statistics (LAUS)
146,1991,San Mateo,Atherton,3516,3591,100,0.0167,CA EDD Local Area Unemployment Statistics (LAUS)
147,1991,San Mateo,Belmont,14858,15350,500,0.032,CA EDD Local Area Unemployment Statistics (LAUS)
148,1991,San Mateo,Brisbane,1700,1800,100,0.0473,CA EDD Local Area Unemployment Statistics (LAUS)
149,1991,San Mateo,Burlingame,15058,15458,408,0.0263,CA EDD Local Area Unemployment Statistics (LAUS)
150,1991,San Mateo,Daly City,48591,51191,2625,0.0512,CA EDD Local Area Unemployment Statistics (LAUS)
151,1991,San Mateo,East Palo Alto,10025,11141,1125,0.1003,CA EDD Local Area Unemployment Statistics (LAUS)
152,1991,San Mateo,Foster City,17591,18150,583,0.0319,CA EDD Local Area Unemployment Statistics (LAUS)
153,1991,San Mateo,Half Moon Bay,5141,5241,100,0.023,CA EDD Local Area Unemployment Statistics (LAUS)
154,1991,San Mateo,Hillsborough,4891,5033,100,0.0237,CA EDD Local Area Unemployment Statistics (LAUS)
155,1991,San Mateo,Menlo Park,14458,14875,441,0.0304,CA EDD Local Area Unemployment Statistics (LAUS)
156,1991,San Mateo,Millbrae,10091,10400,308,0.0301,CA EDD Local Area Unemployment Statistics (LAUS)
157,1991,San Mateo,Pacifica,21383,22083,708,0.0316,CA EDD Local Area Unemployment Statistics (LAUS)
158,1991,San Mateo,Redwood City,36416,37766,1366,0.036,CA EDD Local Area Unemployment Statistics (LAUS)
159,1991,San Mateo,San Bruno,21141,22000,850,0.0389,CA EDD Local Area Unemployment Statistics (LAUS)
160,1991,San Mateo,San Carlos,15058,15375,341,0.0229,CA EDD Local Area Unemployment Statistics (LAUS)
161,1991,San Mateo,San Mateo,47991,49991,2008,0.0401,CA EDD Local Area Unemployment Statistics (LAUS)
162,1991,San Mateo,South San Francisco,28016,29475,1466,0.0496,CA EDD Local Area Unemployment Statistics (LAUS)
163,1991,San Mateo,Unincorporated San Mateo,3335,3537,229,0.0447,CA EDD Local Area Unemployment Statistics (LAUS)
164,1991,Santa Clara,Campbell,21458,22383,916,0.0413,CA EDD Local Area Unemployment Statistics (LAUS)
165,1991,Santa Clara,Cupertino,23091,23883,808,0.0333,CA EDD Local Area Unemployment Statistics (LAUS)
166,1991,Santa Clara,Gilroy,14466,15958,1500,0.0937,CA EDD Local Area Unemployment Statistics (LAUS)
167,1991,Santa Clara,Los Altos,13483,13966,500,0.0348,CA EDD Local Area Unemployment Statistics (LAUS)
168,1991,Santa Clara,Los Gatos,15766,16358,600,0.0353,CA EDD Local Area Unemployment Statistics (LAUS)
169,1991,Santa Clara,Milpitas,25666,27266,1600,0.0588,CA EDD Local Area Unemployment Statistics (LAUS)
170,1991,Santa Clara,Morgan Hill,12116,12691,583,0.0447,CA EDD Local Area Unemployment Statistics (LAUS)
171,1991,Santa Clara,Mountain View,41083,42766,1683,0.0393,CA EDD Local Area Unemployment Statistics (LAUS)
172,1991,Santa Clara,Palo Alto,31725,32691,950,0.0291,CA EDD Local Area Unemployment Statistics (LAUS)
173,1991,Santa Clara,San Jose,401300,429941,28658,0.0666,CA EDD Local Area Unemployment Statistics (LAUS)
174,1991,Santa Clara,Santa Clara,53675,56725,3041,0.0535,CA EDD Local Area Unemployment Statistics (LAUS)
175,1991,Santa Clara,Saratoga,14216,14716,500,0.0345,CA EDD Local Area Unemployment Statistics (LAUS)
176,1991,Santa Clara,Sunnyvale,68216,71708,3466,0.0484,CA EDD Local Area Unemployment Statistics (LAUS)
177,1991,Santa Clara,Unincorporated Santa Clara,3829,4045,208,0.056,CA EDD Local Area Unemployment Statistics (LAUS)
178,1991,Solano,Benicia,13383,13966,558,0.0416,CA EDD Local Area Unemployment Statistics (LAUS)
179,1991,Solano,Dixon,4958,5400,450,0.0821,CA EDD Local Area Unemployment Statistics (LAUS)
180,1991,Solano,Fairfield,34041,36541,2500,0.0682,CA EDD Local Area Unemployment Statistics (LAUS)
181,1991,Solano,Rio Vista,1541,1600,100,0.039,CA EDD Local Area Unemployment Statistics (LAUS)
182,1991,Solano,Suisun City,10050,10866,816,0.0748,CA EDD Local Area Unemployment Statistics (LAUS)
183,1991,Solano,Vacaville,31966,33658,1700,0.0506,CA EDD Local Area Unemployment Statistics (LAUS)
184,1991,Solano,Vallejo,48925,52550,3633,0.069,CA EDD Local Area Unemployment Statistics (LAUS)
185,1991,Sonoma,Cloverdale,2250,2500,225,0.0969,CA EDD Local Area Unemployment Statistics (LAUS)
186,1991,Sonoma,Cotati,3250,3525,275,0.0736,CA EDD Local Area Unemployment Statistics (LAUS)
187,1991,Sonoma,Healdsburg,4850,5125,275,0.0506,CA EDD Local Area Unemployment Statistics (LAUS)
188,1991,Sonoma,Petaluma,23475,24591,1116,0.0452,CA EDD Local Area Unemployment Statistics (LAUS)
189,1991,Sonoma,Rohnert Park,19908,21225,1325,0.0621,CA EDD Local Area Unemployment Statistics (LAUS)
190,1991,Sonoma,Santa Rosa,57333,60600,3250,0.0539,CA EDD Local Area Unemployment Statistics (LAUS)
191,1991,Sonoma,Sebastopol,3450,3700,225,0.0653,CA EDD Local Area Unemployment Statistics (LAUS)
192,1991,Sonoma,Sonoma,3558,3725,108,0.0364,CA EDD Local Area Unemployment Statistics (LAUS)
193,1991,Sonoma,Unincorporated Sonoma,1094,1142,56,0.052,CA EDD Local Area Unemployment Statistics (LAUS)
194,1992,Alameda,Alameda,35375,37125,1750,0.0473,CA EDD Local Area Unemployment Statistics (LAUS)
195,1992,Alameda,Albany,8525,8825,300,0.032,CA EDD Local Area Unemployment Statistics (LAUS)
196,1992,Alameda,Berkeley,55758,59366,3600,0.0605,CA EDD Local Area Unemployment Statistics (LAUS)
197,1992,Alameda,Dublin,10883,11325,425,0.0382,CA EDD Local Area Unemployment Statistics (LAUS)
198,1992,Alameda,Emeryville,3458,3700,225,0.0638,CA EDD Local Area Unemployment Statistics (LAUS)
199,1992,Alameda,Fremont,95850,100408,4558,0.0454,CA EDD Local Area Unemployment Statistics (LAUS)
200,1992,Alameda,Hayward,55241,59175,3925,0.0662,CA EDD Local Area Unemployment Statistics (LAUS)
201,1992,Alameda,Livermore,31141,32625,1475,0.0453,CA EDD Local Area Unemployment Statistics (LAUS)
202,1992,Alameda,Newark,20458,21700,1241,0.0573,CA EDD Local Area Unemployment Statistics (LAUS)
203,1992,Alameda,Oakland,161791,180141,18358,0.1019,CA EDD Local Area Unemployment Statistics (LAUS)
204,1992,Alameda,Piedmont,5208,5300,100,0.0175,CA EDD Local Area Unemployment Statistics (LAUS)
205,1992,Alameda,Pleasanton,29833,30833,1033,0.0332,CA EDD Local Area Unemployment Statistics (LAUS)
206,1992,Alameda,San Leandro,33750,35791,2050,0.0574,CA EDD Local Area Unemployment Statistics (LAUS)
207,1992,Alameda,Unincorporated Alameda,10321,11001,668,0.0665,CA EDD Local Area Unemployment Statistics (LAUS)
208,1992,Alameda,Union City,27625,29033,1425,0.0486,CA EDD Local Area Unemployment Statistics (LAUS)
209,1992,Contra Costa,Antioch,30133,32991,2850,0.0865,CA EDD Local Area Unemployment Statistics (LAUS)
210,1992,Contra Costa,Brentwood,3458,3833,391,0.0982,CA EDD Local Area Unemployment Statistics (LAUS)
211,1992,Contra Costa,Clayton,4133,4241,100,0.0236,CA EDD Local Area Unemployment Statistics (LAUS)
212,1992,Contra Costa,Concord,61341,65300,3958,0.0606,CA EDD Local Area Unemployment Statistics (LAUS)
213,1992,Contra Costa,Danville,17516,18100,575,0.0319,CA EDD Local Area Unemployment Statistics (LAUS)
214,1992,Contra Costa,El Cerrito,11866,12441,600,0.0479,CA EDD Local Area Unemployment Statistics (LAUS)
215,1992,Contra Costa,Hercules,9516,10091,583,0.0576,CA EDD Local Area Unemployment Statistics (LAUS)
216,1992,Contra Costa,Lafayette,12716,13108,400,0.0296,CA EDD Local Area Unemployment Statistics (LAUS)
217,1992,Contra Costa,Martinez,17716,18733,1008,0.0534,CA EDD Local Area Unemployment Statistics (LAUS)
218,1992,Contra Costa,Moraga,8258,8441,200,0.0229,CA EDD Local Area Unemployment Statistics (LAUS)
219,1992,Contra Costa,Orinda,8325,8666,333,0.0393,CA EDD Local Area Unemployment Statistics (LAUS)
220,1992,Contra Costa,Pinole,9358,9941,591,0.0588,CA EDD Local Area Unemployment Statistics (LAUS)
221,1992,Contra Costa,Pittsburg,22208,24466,2241,0.0916,CA EDD Local Area Unemployment Statistics (LAUS)
222,1992,Contra Costa,Pleasant Hill,18416,19233,825,0.0423,CA EDD Local Area Unemployment Statistics (LAUS)
223,1992,Contra Costa,Richmond,39483,44958,5483,0.1221,CA EDD Local Area Unemployment Statistics (LAUS)
224,1992,Contra Costa,San Pablo,10275,11808,1550,0.1308,CA EDD Local Area Unemployment Statistics (LAUS)
225,1992,Contra Costa,San Ramon,21408,22225,825,0.0366,CA EDD Local Area Unemployment Statistics (LAUS)
226,1992,Contra Costa,Unincorporated Contra Costa,2841,3006,164,0.0568,CA EDD Local Area Unemployment Statistics (LAUS)
227,1992,Contra Costa,Walnut Creek,31583,33000,1416,0.0431,CA EDD Local Area Unemployment Statistics (LAUS)
228,1992,Marin,Corte Madera,4608,4950,358,0.0721,CA EDD Local Area Unemployment Statistics (LAUS)
229,1992,Marin,Fairfax,4216,4508,283,0.0607,CA EDD Local Area Unemployment Statistics (LAUS)
230,1992,Marin,Larkspur,6325,6583,241,0.0371,CA EDD Local Area Unemployment Statistics (LAUS)
231,1992,Marin,Mill Valley,7416,7741,300,0.0409,CA EDD Local Area Unemployment Statistics (LAUS)
232,1992,Marin,Novato,24775,25958,1183,0.0454,CA EDD Local Area Unemployment Statistics (LAUS)
233,1992,Marin,San Anselmo,6741,7050,300,0.0426,CA EDD Local Area Unemployment Statistics (LAUS)
234,1992,Marin,San Rafael,26166,28133,1975,0.07,CA EDD Local Area Unemployment Statistics (LAUS)
235,1992,Marin,Sausalito,5016,5316,300,0.0565,CA EDD Local Area Unemployment Statistics (LAUS)
236,1992,Marin,Unincorporated Marin,3450,3604,150,0.0462,CA EDD Local Area Unemployment Statistics (LAUS)
237,1992,Napa,Calistoga,2025,2216,191,0.0867,CA EDD Local Area Unemployment Statistics (LAUS)
238,1992,Napa,Napa,30100,32800,2700,0.0826,CA EDD Local Area Unemployment Statistics (LAUS)
239,1992,Napa,St. Helena,2416,2500,100,0.0328,CA EDD Local Area Unemployment Statistics (LAUS)
240,1992,Napa,Unincorporated Napa,1533,1645,137,0.0748,CA EDD Local Area Unemployment Statistics (LAUS)
241,1992,Napa,Yountville,866,900,16,0.0466,CA EDD Local Area Unemployment Statistics (LAUS)
242,1992,San Francisco,San Francisco,377433,404975,27541,0.068,CA EDD Local Area Unemployment Statistics (LAUS)
243,1992,San Mateo,Atherton,3500,3583,100,0.0216,CA EDD Local Area Unemployment Statistics (LAUS)
244,1992,San Mateo,Belmont,14741,15375,633,0.0412,CA EDD Local Area Unemployment Statistics (LAUS)
245,1992,San Mateo,Brisbane,1700,1800,100,0.0606,CA EDD Local Area Unemployment Statistics (LAUS)
246,1992,San Mateo,Burlingame,14941,15450,533,0.0339,CA EDD Local Area Unemployment Statistics (LAUS)
247,1992,San Mateo,Daly City,48250,51625,3375,0.0655,CA EDD Local Area Unemployment Statistics (LAUS)
248,1992,San Mateo,East Palo Alto,9950,11391,1441,0.1265,CA EDD Local Area Unemployment Statistics (LAUS)
249,1992,San Mateo,Foster City,17450,18191,733,0.0411,CA EDD Local Area Unemployment Statistics (LAUS)
250,1992,San Mateo,Half Moon Bay,5100,5233,158,0.0297,CA EDD Local Area Unemployment Statistics (LAUS)
251,1992,San Mateo,Hillsborough,4858,5016,141,0.0306,CA EDD Local Area Unemployment Statistics (LAUS)
